asset_id,asset_type,latitude,longitude,age_years,material,inspection_score,tilt_deg,corrosion_score,foundation_type,last_maintenance_date,wind_gust_kmh,rainfall_mm,flood_depth_cm,erosion_index,drainage_score,road_access_score,clearance_score,canopy_distance_m,tree_height_m,feeder_id,downstream_customers,critical_loads,redundancy,factor_wind,factor_rain,factor_tilt,factor_erosion,factor_corrosion,factor_drainage,factor_vegetation,factor_age,factor_thermal,factor_vibration,factor_partial_dc,factor_oil,factor_overload,temp_residual_c,vibration_rms_delta,partial_discharge_cnt,oil_quality_index,loading_ratio,overload_duration_h,risk_score,dominant_cause,critical_load_multiplier,expected_loss,estimated_intervention_cost,net_benefit,priority_score,recommended_action,action_tier,expected_risk_reduction_pct,recommended_crew_type,risk_band,safety_note
A-21,substation,51.60488,-0.33685,19,wood,45,1.0,24,concrete_pad,2026-07-29,36.1,59.3,3.1,11,72,61,53,4.5,7.6,F-102,1440,hospital,False,0.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1,0.1,21.0,91.0,0.4,0.0,5.6,flood_drainage,3.0,12096.0,1200,4316.08,3.596733,"Inspect and clear all blocked drainage channels within 10 m of the asset. Check for evidence of scour or foundation undermining; photograph and report. Apply temporary erosion-control measures (sandbags, geotextile) if scour is observed. Stage dewatering equipment if significant flooding is forecast. Defer foundation stabilisation work until water has receded and site is safe.",scheduled,48,Civil/drainage engineer + maintenance crew,normal,"ADVISORY ONLY — This system does not authorise any field work. No switching, breaker operation, energisation, de-energisation, excavation, or work on or near live equipment is permitted without a written work order reviewed and signed off by a qualified licensed engineer in accordance with applicable utility safety procedures."
A-14,transformer,51.27546,0.27803,10,concrete,82,3.4,37,concrete_pad,2026-02-11,58.7,58.0,2.7,43,93,44,72,3.6,8.1,F-104,1384,water_treatment,False,0.0,5.18,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9,0.0,3.0,69.0,0.6,0.0,6.7,flood_drainage,2.5,11591.0,1200,4073.68,3.394733,"Inspect and clear all blocked drainage channels within 10 m of the asset. Check for evidence of scour or foundation undermining; photograph and report. Apply temporary erosion-control measures (sandbags, geotextile) if scour is observed. Stage dewatering equipment if significant flooding is forecast. Defer foundation stabilisation work until water has receded and site is safe.",scheduled,48,Civil/drainage engineer + maintenance crew,normal,"ADVISORY ONLY — This system does not authorise any field work. No switching, breaker operation, energisation, de-energisation, excavation, or work on or near live equipment is permitted without a written work order reviewed and signed off by a qualified licensed engineer in accordance with applicable utility safety procedures."
A-13,pole,51.3119,-0.3227,8,concrete,86,2.9,35,rock_anchor,2026-01-12,18.6,57.2,4.199999999999999,57,44,47,73,1.2,11.5,F-104,1185,hospital,False,0.0,5.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,5.3,flood_drainage,3.0,9420.75,1200,3031.96,2.526633,"Inspect and clear all blocked drainage channels within 10 m of the asset. Check for evidence of scour or foundation undermining; photograph and report. Apply temporary erosion-control measures (sandbags, geotextile) if scour is observed. Stage dewatering equipment if significant flooding is forecast. Defer foundation stabilisation work until water has receded and site is safe.",scheduled,48,Civil/drainage engineer + maintenance crew,normal,"ADVISORY ONLY — This system does not authorise any field work. No switching, breaker operation, energisation, de-energisation, excavation, or work on or near live equipment is permitted without a written work order reviewed and signed off by a qualified licensed engineer in accordance with applicable utility safety procedures."
A-17,pole,51.39913,-0.39076,11,concrete,83,3.8,42,direct_buried,2026-05-25,47.6,42.9,3.5,40,34,77,79,5.6,6.9,F-104,1373,water_treatment,True,0.0,1.6,3.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,6.1,flood_drainage,2.5,6281.47,1200,1525.11,1.270925,"Inspect and clear all blocked drainage channels within 10 m of the asset. Check for evidence of scour or foundation undermining; photograph and report. Apply temporary erosion-control measures (sandbags, geotextile) if scour is observed. Stage dewatering equipment if significant flooding is forecast. Defer foundation stabilisation work until water has receded and site is safe.",scheduled,48,Civil/drainage engineer + maintenance crew,normal,"ADVISORY ONLY — This system does not authorise any field work. No switching, breaker operation, energisation, de-energisation, excavation, or work on or near live equipment is permitted without a written work order reviewed and signed off by a qualified licensed engineer in accordance with applicable utility safety procedures."
A-36,substation,51.80731,-0.1949,8,concrete,51,3.1,52,rock_anchor,2026-03-06,57.6,52.7,4.1,45,84,70,68,3.5,7.6,F-103,1300,shelter,False,0.0,4.2,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.4,27.0,70.0,0.8,0.0,4.6,flood_drainage,2.0,5980.0,1200,1380.4,1.150333,"Inspect and clear all blocked drainage channels within 10 m of the asset. Check for evidence of scour or foundation undermining; photograph and report. Apply temporary erosion-control measures (sandbags, geotextile) if scour is observed. Stage dewatering equipment if significant flooding is forecast. Defer foundation stabilisation work until water has receded and site is safe.",scheduled,48,Civil/drainage engineer + maintenance crew,normal,"ADVISORY ONLY — This system does not authorise any field work. No switching, breaker operation, energisation, de-energisation, excavation, or work on or near live equipment is permitted without a written work order reviewed and signed off by a qualified licensed engineer in accordance with applicable utility safety procedures."
A-15,substation,51.8969,-0.09671,23,concrete,69,1.9,14,direct_buried,2026-02-20,20.8,36.7,4.6,54,88,77,35,2.8,7.8,F-104,1024,water_treatment,True,0.0,1.15,0.0,0.0,0.0,0.0,1.88,0.6,0.0,0.0,0.0,0.0,0.0,6.2,0.0,28.0,94.0,0.7,0.0,3.6,vegetation,2.5,2764.8,800,688.88,0.8611,Arrange targeted vegetation trimming to restore safe conductor clearance. Inspect conductor for signs of abrasion or tracking damage after trimming. Log encroaching tree species and height for future vegetation-management schedule. Trimming must be carried out by a qualified arborist with utility line clearance training; no cutting within minimum approach distance without engineer approval.,scheduled,60,Qualified arborist with utility clearance certification,normal,"ADVISORY ONLY — This system does not authorise any field work. No switching, breaker operation, energisation, de-energisation, excavation, or work on or near live equipment is permitted without a written work order reviewed and signed off by a qualified licensed engineer in accordance with applicable utility safety procedures."
A-28,substation,51.15437,0.16946,3,steel,56,4.3,15,direct_buried,2026-07-30,47.7,27.5,1.8,70,43,87,30,1.0,17.5,F-104,791,hospital,False,0.0,0.45,4.87,4.29,0.0,0.0,3.75,0.0,0.0,0.0,0.0,0.0,0.0,9.3,0.2,18.0,62.0,0.6,0.0,13.4,wind_foundation,3.0,15899.1,4500,3764.51,0.836558,"Conduct urgent visual inspection of foundation integrity and structural tilt. Arrange engineer-verified bracing assessment; if tilt exceeds safe tolerance, prepare replacement materials and stage crew for post-storm intervention. Do NOT approach or touch the structure during active high-wind conditions.",immediate,55,Structural/civil engineer + two-person utility crew,normal,"ADVISORY ONLY — This system does not authorise any field work. No switching, breaker operation, energisation, de-energisation, excavation, or work on or near live equipment is permitted without a written work order reviewed and signed off by a qualified licensed engineer in accordance with applicable utility safety procedures."
A-35,pole,51.34661,0.19919,13,wood,72,2.6,19,concrete_pad,2026-06-30,61.1,23.0,5.1,57,73,88,35,3.8,9.2,F-100,891,shelter,True,0.55,1.27,0.0,0.0,0.0,0.0,1.88,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,3.7,vegetation,2.0,1978.02,800,216.81,0.271012,Arrange targeted vegetation trimming to restore safe conductor clearance. Inspect conductor for signs of abrasion or tracking damage after trimming. Log encroaching tree species and height for future vegetation-management schedule. Trimming must be carried out by a qualified arborist with utility line clearance training; no cutting within minimum approach distance without engineer approval.,scheduled,60,Qualified arborist with utility clearance certification,normal,"ADVISORY ONLY — This system does not authorise any field work. No switching, breaker operation, energisation, de-energisation, excavation, or work on or near live equipment is permitted without a written work order reviewed and signed off by a qualified licensed engineer in accordance with applicable utility safety procedures."
A-37,transformer,51.74179,0.17125,7,wood,56,4.0,11,concrete_pad,2026-03-17,39.0,36.8,5.2,24,90,38,34,2.2,16.0,F-101,1143,water_treatment,False,0.0,1.3,3.75,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.3,12.0,62.0,0.8,0.0,7.3,wind_foundation,2.5,10429.88,4500,756.43,0.168096,"Conduct urgent visual inspection of foundation integrity and structural tilt. Arrange engineer-verified bracing assessment; if tilt exceeds safe tolerance, prepare replacement materials and stage crew for post-storm intervention. Do NOT approach or touch the structure during active high-wind conditions.",immediate,55,Structural/civil engineer + two-person utility crew,normal,"ADVISORY ONLY — This system does not authorise any field work. No switching, breaker operation, energisation, de-energisation, excavation, or work on or near live equipment is permitted without a written work order reviewed and signed off by a qualified licensed engineer in accordance with applicable utility safety procedures."
A-32,pole,51.69393,-0.39564,5,steel,61,4.2,18,rock_anchor,2026-07-06,26.1,9.6,4.2,23,38,46,46,3.5,19.4,F-104,1155,hospital,False,0.0,1.05,4.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,6.0,wind_foundation,3.0,10395.0,4500,737.25,0.163833,"Conduct urgent visual inspection of foundation integrity and structural tilt. Arrange engineer-verified bracing assessment; if tilt exceeds safe tolerance, prepare replacement materials and stage crew for post-storm intervention. Do NOT approach or touch the structure during active high-wind conditions.",immediate,55,Structural/civil engineer + two-person utility crew,normal,"ADVISORY ONLY — This system does not authorise any field work. No switching, breaker operation, energisation, de-energisation, excavation, or work on or near live equipment is permitted without a written work order reviewed and signed off by a qualified licensed engineer in accordance with applicable utility safety procedures."
A-29,transformer,51.26341,0.05295,15,wood,78,3.0,46,concrete_pad,2026-03-26,75.8,26.3,3.1,71,68,88,34,3.8,10.3,F-102,419,water_treatment,False,7.9,0.78,0.0,4.71,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.3,9.0,89.0,0.5,0.0,15.6,wind_foundation,2.5,8170.5,4500,-486.22,-0.108049,"Conduct urgent visual inspection of foundation integrity and structural tilt. Arrange engineer-verified bracing assessment; if tilt exceeds safe tolerance, prepare replacement materials and stage crew for post-storm intervention. Do NOT approach or touch the structure during active high-wind conditions.",immediate,55,Structural/civil engineer + two-person utility crew,normal,"ADVISORY ONLY — This system does not authorise any field work. No switching, breaker operation, energisation, de-energisation, excavation, or work on or near live equipment is permitted without a written work order reviewed and signed off by a qualified licensed engineer in accordance with applicable utility safety procedures."
A-19,substation,51.79795,-0.18149,6,wood,55,3.0,45,rock_anchor,2026-04-21,51.4,26.4,4.7,50,37,80,69,2.1,11.2,F-104,1120,water_treatment,False,0.0,1.18,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,0.3,22.0,79.0,0.5,0.0,1.9,flood_drainage,2.5,2660.0,1200,-213.2,-0.177667,"Inspect and clear all blocked drainage channels within 10 m of the asset. Check for evidence of scour or foundation undermining; photograph and report. Apply temporary erosion-control measures (sandbags, geotextile) if scour is observed. Stage dewatering equipment if significant flooding is forecast. Defer foundation stabilisation work until water has receded and site is safe.",scheduled,48,Civil/drainage engineer + maintenance crew,normal,"ADVISORY ONLY — This system does not authorise any field work. No switching, breaker operation, energisation, de-energisation, excavation, or work on or near live equipment is permitted without a written work order reviewed and signed off by a qualified licensed engineer in accordance with applicable utility safety procedures."
A-40,substation,51.72914,-0.17088,10,concrete,72,0.2,48,direct_buried,2026-03-11,18.2,50.5,3.6,50,84,36,43,6.0,16.7,F-101,458,water_treatment,False,0.0,3.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.2,8.0,62.0,0.7,0.0,3.5,flood_drainage,2.5,2003.75,1200,-528.2,-0.440167,"Inspect and clear all blocked drainage channels within 10 m of the asset. Check for evidence of scour or foundation undermining; photograph and report. Apply temporary erosion-control measures (sandbags, geotextile) if scour is observed. Stage dewatering equipment if significant flooding is forecast. Defer foundation stabilisation work until water has receded and site is safe.",scheduled,48,Civil/drainage engineer + maintenance crew,normal,"ADVISORY ONLY — This system does not authorise any field work. No switching, breaker operation, energisation, de-energisation, excavation, or work on or near live equipment is permitted without a written work order reviewed and signed off by a qualified licensed engineer in accordance with applicable utility safety procedures."
A-20,pole,51.29832,-0.46878,23,wood,78,2.9,38,rock_anchor,2026-01-15,64.1,20.5,3.7,63,41,57,87,3.7,7.1,F-102,629,none,False,2.05,0.93,0.0,1.29,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,,,,,,,4.9,flood_drainage,1.0,1541.05,1200,-750.3,-0.62525,"Inspect and clear all blocked drainage channels within 10 m of the asset. Check for evidence of scour or foundation undermining; photograph and report. Apply temporary erosion-control measures (sandbags, geotextile) if scour is observed. Stage dewatering equipment if significant flooding is forecast. Defer foundation stabilisation work until water has receded and site is safe.",scheduled,48,Civil/drainage engineer + maintenance crew,normal,"ADVISORY ONLY — This system does not authorise any field work. No switching, breaker operation, energisation, de-energisation, excavation, or work on or near live equipment is permitted without a written work order reviewed and signed off by a qualified licensed engineer in accordance with applicable utility safety procedures."
A-25,pole,51.42513,-0.13491,19,steel,93,3.8,15,direct_buried,2026-05-05,67.3,16.1,1.6,21,31,75,47,0.6,15.4,F-102,1393,none,True,3.65,0.4,3.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,9.3,wind_foundation,1.0,3886.47,4500,-2842.44,-0.631653,"Conduct urgent visual inspection of foundation integrity and structural tilt. Arrange engineer-verified bracing assessment; if tilt exceeds safe tolerance, prepare replacement materials and stage crew for post-storm intervention. Do NOT approach or touch the structure during active high-wind conditions.",immediate,55,Structural/civil engineer + two-person utility crew,normal,"ADVISORY ONLY — This system does not authorise any field work. No switching, breaker operation, energisation, de-energisation, excavation, or work on or near live equipment is permitted without a written work order reviewed and signed off by a qualified licensed engineer in accordance with applicable utility safety procedures."
A-16,transformer,51.1026,0.05767,22,concrete,72,1.5,28,concrete_pad,2026-06-15,58.6,58.3,3.1,24,83,42,31,7.1,4.8,F-103,261,shelter,True,0.0,5.35,0.0,0.0,0.0,0.0,3.38,0.4,0.0,0.0,0.0,0.0,0.0,9.7,0.3,16.0,66.0,0.8,0.0,9.1,flood_drainage,2.0,1425.06,1200,-805.97,-0.671642,"Inspect and clear all blocked drainage channels within 10 m of the asset. Check for evidence of scour or foundation undermining; photograph and report. Apply temporary erosion-control measures (sandbags, geotextile) if scour is observed. Stage dewatering equipment if significant flooding is forecast. Defer foundation stabilisation work until water has receded and site is safe.",scheduled,48,Civil/drainage engineer + maintenance crew,normal,"ADVISORY ONLY — This system does not authorise any field work. No switching, breaker operation, energisation, de-energisation, excavation, or work on or near live equipment is permitted without a written work order reviewed and signed off by a qualified licensed engineer in accordance with applicable utility safety procedures."
A-11,pole,51.64769,0.15428,10,wood,89,4.5,50,direct_buried,2025-11-22,59.3,10.7,3.4000000000000004,18,59,90,76,7.0,12.2,F-100,805,shelter,True,0.0,0.85,5.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,6.5,wind_foundation,2.0,3139.5,4500,-3253.27,-0.722949,"Conduct urgent visual inspection of foundation integrity and structural tilt. Arrange engineer-verified bracing assessment; if tilt exceeds safe tolerance, prepare replacement materials and stage crew for post-storm intervention. Do NOT approach or touch the structure during active high-wind conditions.",immediate,55,Structural/civil engineer + two-person utility crew,normal,"ADVISORY ONLY — This system does not authorise any field work. No switching, breaker operation, energisation, de-energisation, excavation, or work on or near live equipment is permitted without a written work order reviewed and signed off by a qualified licensed engineer in accordance with applicable utility safety procedures."
A-09,transformer,51.28232,-0.28849,20,steel,52,2.0,42,concrete_pad,2026-02-05,53.5,45.6,5.3,51,41,80,64,0.7,6.9,F-104,165,shelter,True,0.0,2.72,0.0,0.0,0.0,0.0,0.0,0.0,10.91,7.2,9.02,8.0,10.1,29.1,2.6,501.0,20.0,1.2,16.4,48.0,insulation_degradation,2.0,4752.0,10000,-7418.56,-0.741856,"ADVISORY: Elevated partial-discharge count and/or oil quality degradation detected — indicative of insulation system stress. Arrange urgent oil sampling and DGA (dissolved gas analysis) by a qualified high-voltage engineer before next scheduled maintenance window. Initiate condition-based maintenance review; if DGA confirms thermal fault or arcing gases, escalate to emergency replacement planning. No live work on insulation systems is permitted without full isolation, earthing, and sign-off by a qualified licensed engineer.",immediate,72,HV-qualified engineer + oil sampling specialist,elevated,"ADVISORY ONLY — This system does not authorise any field work. No switching, breaker operation, energisation, de-energisation, excavation, or work on or near live equipment is permitted without a written work order reviewed and signed off by a qualified licensed engineer in accordance with applicable utility safety procedures."
A-27,pole,51.14011,-0.13857,20,concrete,92,3.3,13,direct_buried,2026-03-27,52.8,6.1,5.8,58,44,38,70,4.3,17.0,F-102,311,hospital,False,0.0,1.45,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,2.6,flood_drainage,3.0,1212.9,1200,-907.81,-0.756508,"Inspect and clear all blocked drainage channels within 10 m of the asset. Check for evidence of scour or foundation undermining; photograph and report. Apply temporary erosion-control measures (sandbags, geotextile) if scour is observed. Stage dewatering equipment if significant flooding is forecast. Defer foundation stabilisation work until water has receded and site is safe.",scheduled,48,Civil/drainage engineer + maintenance crew,normal,"ADVISORY ONLY — This system does not authorise any field work. No switching, breaker operation, energisation, de-energisation, excavation, or work on or near live equipment is permitted without a written work order reviewed and signed off by a qualified licensed engineer in accordance with applicable utility safety procedures."
