asset_id,asset_type,latitude,longitude,age_years,material,inspection_score,tilt_deg,corrosion_score,foundation_type,last_maintenance_date,wind_gust_kmh,rainfall_mm,flood_depth_cm,erosion_index,drainage_score,road_access_score,clearance_score,canopy_distance_m,tree_height_m,feeder_id,downstream_customers,critical_loads,redundancy,factor_wind,factor_rain,factor_tilt,factor_erosion,factor_corrosion,factor_drainage,factor_vegetation,factor_age,factor_thermal,factor_vibration,factor_partial_dc,factor_oil,factor_overload,temp_residual_c,vibration_rms_delta,partial_discharge_cnt,oil_quality_index,loading_ratio,overload_duration_h,risk_score,dominant_cause
A-15,substation,51.8969,-0.09671,23,concrete,69,1.9,14,direct_buried,2026-02-20,20.8,36.7,4.6,54,88,77,35,2.8,7.8,F-104,1024,water_treatment,True,0.0,1.15,0.0,0.0,0.0,0.0,1.88,0.6,0.0,0.0,0.0,0.0,0.0,6.2,0.0,28.0,94.0,0.7,0.0,3.6,vegetation
A-34,substation,51.66453,-0.07127,6,wood,55,2.9,26,direct_buried,2026-01-20,64.60000000000001,27.1,4.8,17,44,57,56,1.2,17.2,F-101,420,water_treatment,False,2.3,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,0.3,4.0,94.0,0.3,0.0,3.5,wind_foundation
A-40,substation,51.72914,-0.17088,10,concrete,72,0.2,48,direct_buried,2026-03-11,18.2,50.5,3.6,50,84,36,43,6.0,16.7,F-101,458,water_treatment,False,0.0,3.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.2,8.0,62.0,0.7,0.0,3.5,flood_drainage
A-27,pole,51.14011,-0.13857,20,concrete,92,3.3,13,direct_buried,2026-03-27,52.8,6.1,5.8,58,44,38,70,4.3,17.0,F-102,311,hospital,False,0.0,1.45,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,2.6,flood_drainage
A-10,transformer,51.66146,0.02684,13,wood,58,0.7,32,rock_anchor,2025-09-25,31.6,18.8,4.1,63,77,63,48,7.4,8.3,F-102,995,none,True,0.0,1.02,0.0,1.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.2,7.0,70.0,0.6,0.0,2.3,flood_drainage
A-33,transformer,51.50433,-0.3191,8,wood,88,3.2,23,direct_buried,2025-10-14,44.8,22.2,4.9,53,67,88,71,6.5,13.1,F-104,318,none,True,0.0,1.23,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.3,1.0,60.0,0.5,0.0,2.0,flood_drainage
A-19,substation,51.79795,-0.18149,6,wood,55,3.0,45,rock_anchor,2026-04-21,51.4,26.4,4.7,50,37,80,69,2.1,11.2,F-104,1120,water_treatment,False,0.0,1.18,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,0.3,22.0,79.0,0.5,0.0,1.9,flood_drainage
A-38,pole,51.27834,0.00803,9,steel,67,0.9,39,concrete_pad,2026-03-31,39.8,42.5,4.1,16,85,42,90,4.3,4.1,F-103,447,shelter,False,0.0,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1.6,flood_drainage
A-18,transformer,51.29156,-0.3273,21,concrete,52,1.5,11,direct_buried,2026-03-02,21.6,40.9,3.6,35,76,42,59,4.1,10.0,F-101,1499,none,False,0.0,1.12,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,-1.0,0.2,2.0,94.0,0.7,0.0,1.3,flood_drainage
A-23,transformer,51.79107,-0.47666,5,concrete,72,3.0,32,rock_anchor,2026-02-05,46.5,26.1,5.3,47,48,30,42,2.0,19.0,F-102,566,water_treatment,False,0.0,1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,0.2,10.0,66.0,0.4,0.0,1.3,flood_drainage
A-24,transformer,51.4701,0.17959,8,wood,72,2.4,18,concrete_pad,2026-06-02,23.1,4.8,2.7,21,62,52,40,6.2,7.2,F-100,1243,water_treatment,False,0.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7,0.3,3.0,63.0,0.7,0.0,0.7,flood_drainage
